d,p,K,n,par,dvine,error_const,seed,name,M_squared,obs_D,D
10,45,30,461,function (t)  0,FALSE,0.005,902,constant_0_cvine_10,221.81498525564797,3,49.62335462785162
12,66,30,497,function (t)  0,FALSE,0.005,46301,constant_0_cvine_12,288.13985335016775,2,52.02488307727834
15,105,30,542,function (t)  0,FALSE,0.005,98865,constant_0_cvine_15,435.11518520373727,1,79.97169400250974
4,6,30,277,function (t)  0,FALSE,0.005,33026,constant_0_cvine_4,26.7759117981638,115,4.196072569838904
6,15,30,358,function (t)  0,FALSE,0.005,49231,constant_0_cvine_6,58.05285964306798,24,16.45532405840273
8,28,30,416,function (t)  0,FALSE,0.005,68280,constant_0_cvine_8,131.60527166636697,8,33.21040244440965
10,45,30,461,function (t)  0,TRUE,0.005,83023,constant_0_dvine_10,200.91466718689713,3,47.04245581947078
12,66,30,497,function (t)  0,TRUE,0.005,80756,constant_0_dvine_12,281.9592105258888,2,65.54192471001925
15,105,30,542,function (t)  0,TRUE,0.005,85374,constant_0_dvine_15,494.1598929848532,1,82.34862693317275
4,6,30,277,function (t)  0,TRUE,0.005,41964,constant_0_dvine_4,24.969058281594453,115,4.0386556870616435
6,15,30,358,function (t)  0,TRUE,0.005,15241,constant_0_dvine_6,68.824525839465025,24,17.516599800265073
8,28,30,416,function (t)  0,TRUE,0.005,33702,constant_0_dvine_8,128.3434512302956,8,31.39188080807762
10,45,30,461,function (t)  0.5^t,FALSE,0.005,8626,exponential_cvine_10,239.20376279982787,3,51.22266646924923
12,66,30,497,function (t)  0.5^t,FALSE,0.005,33528,exponential_cvine_12,306.36820856215024,2,69.1358442513677
15,105,30,542,function (t)  0.5^t,FALSE,0.005,67287,exponential_cvine_15,589.6774430408211,1,101.79617430990054
4,6,30,277,function (t)  0.5^t,FALSE,0.005,58890,exponential_cvine_4,36.99009356533881,115,6.682496198855218
6,15,30,358,function (t)  0.5^t,FALSE,0.005,20374,exponential_cvine_6,104.78969111204162,24,23.84994762157497
8,28,30,416,function (t)  0.5^t,FALSE,0.005,59011,exponential_cvine_8,161.92701389228873,8,36.894366671351065
10,45,30,461,function (t)  0.5^t,TRUE,0.005,50166,exponential_dvine_10,270.7388163218337,3,57.27987420507153
12,66,30,497,function (t)  0.5^t,TRUE,0.005,85832,exponential_dvine_12,399.9389606918271,2,71.373175315098
15,105,30,542,function (t)  0.5^t,TRUE,0.005,98602,exponential_dvine_15,557.5148971099502,1,95.4921358040011
4,6,30,277,function (t)  0.5^t,TRUE,0.005,16962,exponential_dvine_4,46.63986956047066,115,6.548980583179038
6,15,30,358,function (t)  0.5^t,TRUE,0.005,98435,exponential_dvine_6,90.93843660255857,24,24.034520555208598
8,28,30,416,function (t)  0.5^t,TRUE,0.005,31785,exponential_dvine_8,172.72297665795378,8,38.192349839571406
10,45,30,461,function (t)  1/(t + 1),FALSE,0.005,70127,harmonic_cvine_10,400.76896700278587,3,60.14454626627991
12,66,30,497,function (t)  1/(t + 1),FALSE,0.005,30928,harmonic_cvine_12,639.7275693135774,2,86.33001285185956
15,105,30,542,function (t)  1/(t + 1),FALSE,0.005,35670,harmonic_cvine_15,984.051749269801,1,114.71959160622336
4,6,30,277,function (t)  1/(t + 1),FALSE,0.005,37000,harmonic_cvine_4,86.72598937628119,115,8.629044402138776
6,15,30,358,function (t)  1/(t + 1),FALSE,0.005,51323,harmonic_cvine_6,132.34122697806515,24,27.91031699553864
8,28,30,416,function (t)  1/(t + 1),FALSE,0.005,99562,harmonic_cvine_8,219.19474636829744,8,42.3156303330313
10,45,30,461,function (t)  1/(t + 1),TRUE,0.005,17380,harmonic_dvine_10,723.414800407805,3,90.99103672893557
12,66,30,497,function (t)  1/(t + 1),TRUE,0.005,33247,harmonic_dvine_12,1076.9736520293018,2,108.70226297778703
15,105,30,542,function (t)  1/(t + 1),TRUE,0.005,49786,harmonic_dvine_15,2002.290518020201,1,167.34899729331724
4,6,30,277,function (t)  1/(t + 1),TRUE,0.005,68158,harmonic_dvine_4,90.60096984474218,115,8.39383424780294
6,15,30,358,function (t)  1/(t + 1),TRUE,0.005,59944,harmonic_dvine_6,199.00047210694984,24,32.23729112959576
8,28,30,416,function (t)  1/(t + 1),TRUE,0.005,68536,harmonic_dvine_8,432.31171377965353,8,64.82752626609847
10,45,30,461,function (t)  0.5/sqrt(t + 1),FALSE,0.005,98518,harmonic_root05_cvine_10,432.7393356503761,3,62.869595923580206
12,66,30,497,function (t)  0.5/sqrt(t + 1),FALSE,0.005,86406,harmonic_root05_cvine_12,663.2450669072535,2,78.25139995497348
15,105,30,542,function (t)  0.5/sqrt(t + 1),FALSE,0.005,41557,harmonic_root05_cvine_15,1089.2760496307321,1,131.32623730735511
4,6,30,277,function (t)  0.5/sqrt(t + 1),FALSE,0.005,83831,harmonic_root05_cvine_4,56.09190075311969,115,6.5372219758940995
6,15,30,358,function (t)  0.5/sqrt(t + 1),FALSE,0.005,60030,harmonic_root05_cvine_6,135.96850999224563,24,25.96399165677391
8,28,30,416,function (t)  0.5/sqrt(t + 1),FALSE,0.005,84113,harmonic_root05_cvine_8,261.08265392760364,8,45.505201126905135
10,45,30,461,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,2533,harmonic_root05_dvine_10,170.03293372341722,3,40.69783410748718
12,66,30,497,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,6604,harmonic_root05_dvine_12,253.6396443722504,2,62.314698338265366
15,105,30,542,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,73520,harmonic_root05_dvine_15,511.51412255340057,1,86.49596854108103
4,6,30,277,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,13383,harmonic_root05_dvine_4,26.055251945101983,115,5.019494992368983
6,15,30,358,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,21344,harmonic_root05_dvine_6,61.35956321369645,24,21.32043859935266
8,28,30,416,function (t)  0.5/sqrt(t + 1),TRUE,1e-7,8518,harmonic_root05_dvine_8,96.71973430994598,8,31.452094677842048
