d,p,K,par,dvine,error_const,seed,name,alpha_t,E_phi_true,max_E_phi
10,45,1000,function (t)  0,FALSE,0.005,9837,constant_0_cvine_10,function (t)  1,0,-0.9605626408138819
15,105,1000,function (t)  0,FALSE,0.005,99251,constant_0_cvine_15,function (t)  1,0,-0.945944613072985
20,190,1000,function (t)  0,FALSE,0.005,1258,constant_0_cvine_20,function (t)  1,0,-0.9271528049348515
30,435,1000,function (t)  0,FALSE,0.005,19991,constant_0_cvine_30,function (t)  1,0,-0.9078450655442951
40,780,1000,function (t)  0,FALSE,0.005,32922,constant_0_cvine_40,function (t)  1,0,-0.8775772444295157
5,10,1000,function (t)  0,FALSE,0.005,40564,constant_0_cvine_5,function (t)  1,0,-0.9852233955169787
50,1225,1000,function (t)  0,FALSE,0.005,3975,constant_0_cvine_50,function (t)  1,0,-0.8414837124405701
10,45,1000,function (t)  0,TRUE,0.005,98909,constant_0_dvine_10,function (t)  1,0,-0.9607647015314243
15,105,1000,function (t)  0,TRUE,0.005,64864,constant_0_dvine_15,function (t)  1,0,-0.9463518111295675
20,190,1000,function (t)  0,TRUE,0.005,75522,constant_0_dvine_20,function (t)  1,0,-0.9313429506561463
30,435,1000,function (t)  0,TRUE,0.005,65611,constant_0_dvine_30,function (t)  1,0,-0.9123186899817061
40,780,1000,function (t)  0,TRUE,0.005,95847,constant_0_dvine_40,function (t)  1,0,-0.8697096609191216
5,10,1000,function (t)  0,TRUE,0.005,76440,constant_0_dvine_5,function (t)  1,0,-0.9852238968296715
50,1225,1000,function (t)  0,TRUE,0.005,91914,constant_0_dvine_50,function (t)  1,0,-0.8691631301376054
10,45,1000,function (t)  0.5^t,FALSE,0.005,12127,exponential_cvine_10,function (t)  1,5.551115123125783e-17,-0.7885791308991141
15,105,1000,function (t)  0.5^t,FALSE,0.005,52938,exponential_cvine_15,function (t)  1,2.194425197110661e-16,-0.7885791308991141
20,190,1000,function (t)  0.5^t,FALSE,0.005,62854,exponential_cvine_20,function (t)  1,2.194425197110661e-16,-0.7885791308991141
30,435,1000,function (t)  0.5^t,FALSE,0.005,98071,exponential_cvine_30,function (t)  1,3.188992556407592e-16,-0.7885791308991141
40,780,1000,function (t)  0.5^t,FALSE,0.005,24388,exponential_cvine_40,function (t)  1,1.5113778284447932e-16,-0.7885791308991141
5,10,1000,function (t)  0.5^t,FALSE,0.005,44035,exponential_cvine_5,function (t)  1,5.551115123125783e-17,-0.7885791308991141
