d,p,n,par,family,dvine,norm_error,sum_error,max_norm_error,last_param_error
10,45,100,function (t)  0.5^t,1,FALSE,0.5930856952749995,0.36636876295678733,0.21655370943404556,-0.11543126376824125
10,45,100,function (t)  0.5^t,1,FALSE,0.6601075673724772,0.3034756728229968,0.2944302733903731,-0.044180696390011806
10,45,100,function (t)  0.5^t,1,FALSE,0.7217625607132464,-1.7291941101798431,0.27508040780006804,0.062144058428816984
10,45,100,function (t)  0.5^t,1,FALSE,0.7290287251679038,0.6888992245497881,0.2625309757418016,0.07442038647730932
10,45,100,function (t)  0.5^t,1,FALSE,0.6400625574958002,-0.28868217188603423,0.23357488016797828,-0.06727219433847867
10,45,100,function (t)  0.5^t,1,FALSE,0.6523857706810673,-0.504817460583563,0.2246087092788281,0.06143223084109917
10,45,100,function (t)  0.5^t,1,FALSE,0.6040430182694607,0.526561495445954,0.20618557467152351,-0.09928138813187612
10,45,100,function (t)  0.5^t,1,FALSE,0.4714754799890955,0.13842618446598492,0.21501515091186754,0.03899056000939882
10,45,100,function (t)  0.5^t,1,FALSE,0.5863646974684827,0.009219813476966258,0.19050066727736273,-0.08418258721995467
10,45,100,function (t)  0.5^t,1,FALSE,0.5694189555530375,-0.01893487601902629,0.1897273461528475,-0.05599876726783445
10,45,100,function (t)  0.5^t,1,FALSE,0.7464782107869683,-1.2304681557083257,0.3496889414100322,-0.03510479505452545
10,45,100,function (t)  0.5^t,1,FALSE,0.5437918335140853,-0.26099564766568223,0.2303006628278905,0.04844282458617736
10,45,100,function (t)  0.5^t,1,FALSE,0.7176518314766116,-0.6392603589505942,0.34099223484604163,-0.039202864985094475
10,45,100,function (t)  0.5^t,1,FALSE,0.6734480475995934,0.7590904847817254,0.19227868117065117,0.016078204750874184
10,45,100,function (t)  0.5^t,1,FALSE,0.6622034843507029,0.33618990507580726,0.19459060552670449,-0.1430967692846722
10,45,100,function (t)  0.5^t,1,FALSE,0.6624384299343544,-0.3961077498174469,0.2793155804778991,-0.08674796272597532
10,45,100,function (t)  0.5^t,1,FALSE,0.5770736347831745,-0.9097569227168144,0.22717112414206586,0.01144092170119271
10,45,100,function (t)  0.5^t,1,FALSE,0.5470826831383432,-0.444585110569748,0.21194376900765877,0.12277379731290781
10,45,100,function (t)  0.5^t,1,FALSE,0.7228155835995507,-0.04350152748810071,0.2829280047981851,-0.04030332912865973
10,45,100,function (t)  0.5^t,1,FALSE,0.539183541462139,0.8649164735430631,0.19458274499779232,-0.11551386342716503
10,45,100,function (t)  0.5^t,1,FALSE,0.5681031762438432,-0.31222947771003584,0.16731369319836975,0.09154476265247244
10,45,100,function (t)  0.5^t,1,FALSE,0.6316774609698788,-0.8183374220233235,0.23113054526523613,-0.028061350003248737
10,45,100,function (t)  0.5^t,1,FALSE,0.593744466497536,-0.42752753196941856,0.19698455645445942,-0.10403005923834342
